Data Number,Hour,Minute,Data Value
1,11,8,"{'counter': [0], 'valueRecord': ['54.14\r\n'], 'hour': [11], 'minute': [8]}"
2,11,8,"{'counter': [0, 1], 'valueRecord': ['54.14\r\n', '26.33\r\n'], 'hour': [11, 11], 'minute': [8, 8]}"
3,11,8,"{'counter': [0, 1, 2], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n'], 'hour': [11, 11, 11], 'minute': [8, 8, 8]}"
4,11,8,"{'counter': [0, 1, 2, 3], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n'], 'hour': [11, 11, 11, 11], 'minute': [8, 8, 8, 8]}"
5,11,8,"{'counter': [0, 1, 2, 3, 4], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n'], 'hour': [11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8]}"
6,11,8,"{'counter': [0, 1, 2, 3, 4, 5], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n'], 'hour': [11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8]}"
7,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8]}"
8,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8]}"
9,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8]}"
10,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
11,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
12,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
13,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n', '55.48\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
14,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n', '55.48\r\n', '55.43\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
15,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n', '55.48\r\n', '55.43\r\n', '54.04\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
16,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n', '55.48\r\n', '55.43\r\n', '54.04\r\n', '51.48\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
17,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n', '55.48\r\n', '55.43\r\n', '54.04\r\n', '51.48\r\n', '54.33\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
18,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n', '55.48\r\n', '55.43\r\n', '54.04\r\n', '51.48\r\n', '54.33\r\n', '54.09\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
19,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n', '55.48\r\n', '55.43\r\n', '54.04\r\n', '51.48\r\n', '54.33\r\n', '54.09\r\n', '54.91\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
20,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n', '55.48\r\n', '55.43\r\n', '54.04\r\n', '51.48\r\n', '54.33\r\n', '54.09\r\n', '54.91\r\n', '55.57\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
21,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n', '55.48\r\n', '55.43\r\n', '54.04\r\n', '51.48\r\n', '54.33\r\n', '54.09\r\n', '54.91\r\n', '55.57\r\n', '53.99\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
22,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n', '55.48\r\n', '55.43\r\n', '54.04\r\n', '51.48\r\n', '54.33\r\n', '54.09\r\n', '54.91\r\n', '55.57\r\n', '53.99\r\n', '54.81\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
23,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n', '55.48\r\n', '55.43\r\n', '54.04\r\n', '51.48\r\n', '54.33\r\n', '54.09\r\n', '54.91\r\n', '55.57\r\n', '53.99\r\n', '54.81\r\n', '54.69\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
24,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n', '55.48\r\n', '55.43\r\n', '54.04\r\n', '51.48\r\n', '54.33\r\n', '54.09\r\n', '54.91\r\n', '55.57\r\n', '53.99\r\n', '54.81\r\n', '54.69\r\n', '53.92\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
25,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n', '55.48\r\n', '55.43\r\n', '54.04\r\n', '51.48\r\n', '54.33\r\n', '54.09\r\n', '54.91\r\n', '55.57\r\n', '53.99\r\n', '54.81\r\n', '54.69\r\n', '53.92\r\n', '53.51\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
26,11,8,"{'counter': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25], 'valueRecord': ['54.14\r\n', '26.33\r\n', '47.88\r\n', '46.96\r\n', '46.48\r\n', '47.81\r\n', '47.80\r\n', '48.26\r\n', '46.99\r\n', '46.97\r\n', '46.00\r\n', '54.30\r\n', '55.48\r\n', '55.43\r\n', '54.04\r\n', '51.48\r\n', '54.33\r\n', '54.09\r\n', '54.91\r\n', '55.57\r\n', '53.99\r\n', '54.81\r\n', '54.69\r\n', '53.92\r\n', '53.51\r\n', '51.00\r\n'], 'hour': [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11], 'minute': [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]}"
