Data Number,Hour,Minute,Seconds,Data Value
1,10,45,1,2241.13
2,10,45,1,177.52
3,10,45,1,2331.37
4,10,45,1,2330.51
5,10,45,2,2330.60
6,10,45,2,2330.86
7,10,45,2,176.58
8,10,45,2,126.82
9,10,45,2,2331.22
10,10,45,3,175.82
11,10,45,3,128.54
12,10,45,3,2330.74
13,10,45,3,177.11
14,10,45,3,127.27
15,10,45,3,2332.21
16,10,45,4,2331.58
17,10,45,4,176.25
18,10,45,4,2331.65
19,10,45,4,177.11
20,10,45,4,176.66
21,10,45,4,2331.20
22,10,45,5,2330.63
23,10,45,5,2330.62
24,10,45,5,176.25
25,10,45,5,126.84
26,10,45,5,127.58
27,10,45,6,2305.51
28,10,45,6,2330.91
29,10,45,6,128.40
30,10,45,6,176.25
31,10,45,6,188.17
32,10,45,6,177.85
33,10,45,7,140.49
34,10,45,7,128.52
35,10,45,7,120.99
36,10,45,7,113.79
37,10,45,7,101.27
38,10,45,7,179.15
39,10,45,7,84.36
40,10,45,8,15.07
41,10,45,8,8.27
42,10,45,8,56.34
43,10,45,8,11.94
44,10,45,8,6.47
45,10,45,8,2331.30
46,10,45,8,2331.49
47,10,45,8,2331.61
48,10,45,9,176.65
49,10,45,9,175.77
50,10,45,9,2330.50
51,10,45,9,2331.51
52,10,45,9,176.51
53,10,45,10,2331.05
54,10,45,10,2330.94
55,10,45,10,2330.72
56,10,45,10,2331.05
57,10,45,11,176.22
58,10,45,11,177.91
59,10,45,11,127.66
60,10,45,11,176.54
61,10,45,11,178.38
62,10,45,11,175.68
63,10,45,11,126.81
64,10,45,11,2331.17
65,10,45,12,2331.17
66,10,45,12,2331.18
67,10,45,12,175.36
68,10,45,12,127.24
69,10,45,12,176.22
70,10,45,12,2331.25
71,10,45,13,176.65
72,10,45,13,2331.46
73,10,45,13,2330.84
74,10,45,13,2331.22
75,10,45,14,2330.15
