Data Number,Hour,Minute,Data Value
1,11,10,"28.85
"
2,11,10,"27.61
"
3,11,10,"26.65
"
4,11,10,"30.12
"
5,11,10,"23.98
"
6,11,10,"23.36
"
7,11,10,"25.55
"
8,11,10,"25.60
"
9,11,10,"26.65
"
10,11,10,"28.78
"
11,11,10,"31.61
"
12,11,10,"31.25
"
13,11,10,"32.59
"
14,11,10,"33.55
"
15,11,10,"34.03
"
16,11,10,"34.95
"
17,11,10,"32.67
"
18,11,10,"30.32
"
19,11,10,"30.53
"
20,11,10,"28.43
"
21,11,10,"24.90
"
22,11,10,"23.79
"
23,11,10,"22.04
"
24,11,10,"23.79
"
25,11,10,"22.71
"
26,11,10,"23.22
"
27,11,10,"23.87
"
28,11,10,"26.79
"
29,11,10,"30.27
"
30,11,10,"32.43
"
31,11,10,"27.61
"
32,11,10,"42.02
"
33,11,10,"36.77
"
34,11,10,"42.03
"
35,11,10,"43.44
"
36,11,10,"69.90
"
37,11,10,"47.73
"
38,11,10,"43.00
"
39,11,10,"33.65
"
40,11,10,"31.90
"
41,11,10,"33.96
"
42,11,10,"34.47
"
43,11,10,"34.87
"
44,11,10,"35.29
"
45,11,10,"42.14
"
46,11,10,"41.02
"
47,11,10,"40.25
"
48,11,10,"32.88
"
49,11,10,"30.27
"
50,11,10,"27.61
"
51,11,10,"25.50
"
52,11,10,"22.86
"
53,11,10,"22.16
"
54,11,10,"22.40
"
55,11,10,"25.16
"
56,11,10,"23.10
"
57,11,10,"22.29
"
58,11,10,"10.58
"
59,11,10,"24.23
"
60,11,10,"26.03
"
61,11,10,"27.06
"
62,11,10,"28.85
"
63,11,10,"32.00
"
64,11,10,"43.44
"
65,11,10,"38.06
"
66,11,10,"38.21
"
67,11,10,"39.53
"
68,11,10,"40.66
"
69,11,10,"43.94
"
70,11,10,"57.92
"
71,11,10,"47.28
"
72,11,10,"68.77
"
73,11,10,"43.36
"
74,11,10,"41.67
"
75,11,10,"46.06
"
76,11,10,"60.02
"
77,11,10,"2285.24
"
78,11,10,"2284.83
"
79,11,10,"40.82
"
80,11,10,"38.96
"
81,11,10,"36.62
"
82,11,10,"36.17
"
83,11,10,"30.18
"
84,11,10,"34.11
"
85,11,10,"30.78
"
86,11,10,"27.71
"
87,11,10,"27.83
"
88,11,10,"30.22
"
89,11,10,"28.28
"
90,11,10,"28.02
"
91,11,10,"28.38
"
92,11,10,"27.10
"
93,11,10,"26.75
"
94,11,10,"27.87
"
95,11,10,"28.33
"
96,11,10,"28.45
"
97,11,10,"26.67
"
98,11,10,"27.15
"
99,11,10,"28.02
"
100,11,10,"29.41
"
