Data Number,Hour,Minute,Seconds,Data Value
1,6,44,44,.36
2,6,44,44,19.50
3,6,44,44,20.36
4,6,44,44,20.36
5,6,44,44,19.50
6,6,44,44,20.36
7,6,44,44,19.07
8,6,44,44,20.36
9,6,44,44,20.36
10,6,44,44,20.36
11,6,44,44,19.50
12,6,44,44,20.25
13,6,44,44,20.25
14,6,44,44,20.24
15,6,44,44,20.24
16,6,44,44,20.24
17,6,44,44,20.27
18,6,44,44,20.34
19,6,44,44,20.36
20,6,44,44,20.36
21,6,44,44,20.36
22,6,44,44,20.36
23,6,44,44,20.36
24,6,44,44,20.36
25,6,44,44,20.36
26,6,44,44,20.36
27,6,44,44,20.36
28,6,44,44,20.36
29,6,44,44,20.36
30,6,44,44,20.36
31,6,44,44,20.36
32,6,44,44,19.50
33,6,44,44,20.36
34,6,44,44,20.36
35,6,44,44,19.50
36,6,44,44,20.36
37,6,44,44,19.50
38,6,44,44,20.36
39,6,44,44,20.36
40,6,44,44,19.07
41,6,44,44,20.36
42,6,44,45,19.09
43,6,44,45,20.36
44,6,44,45,20.36
45,6,44,45,20.36
46,6,44,45,20.34
47,6,44,45,19.07
48,6,44,45,20.36
49,6,44,45,19.95
50,6,44,45,20.36
51,6,44,45,19.07
52,6,44,45,20.34
53,6,44,45,20.36
54,6,44,45,20.36
55,6,44,45,19.07
56,6,44,45,20.77
57,6,44,45,20.25
58,6,44,45,20.25
59,6,44,45,20.25
60,6,44,45,20.25
61,6,44,45,20.25
62,6,44,45,20.36
63,6,44,45,20.79
64,6,44,45,20.36
65,6,44,45,20.36
66,6,44,45,20.36
67,6,44,45,20.36
68,6,44,45,20.36
69,6,44,45,20.36
70,6,44,45,20.34
71,6,44,45,20.36
72,6,44,45,19.50
73,6,44,45,20.36
74,6,44,45,19.93
75,6,44,45,20.36
76,6,44,45,19.48
77,6,44,45,20.36
78,6,44,45,20.36
79,6,44,45,20.36
80,6,44,45,20.36
81,6,44,45,19.48
82,6,44,45,20.36
83,6,44,45,20.36
84,6,44,45,19.48
85,6,44,46,20.36
86,6,44,46,19.48
87,6,44,46,19.50
88,6,44,46,20.36
89,6,44,46,20.34
90,6,44,46,19.48
91,6,44,46,20.34
92,6,44,46,20.36
93,6,44,46,20.36
94,6,44,46,19.50
95,6,44,46,19.48
96,6,44,46,20.36
97,6,44,46,19.48
98,6,44,46,20.36
99,6,44,46,20.36
100,6,44,46,20.25
101,6,44,46,20.25
102,6,44,46,20.25
103,6,44,46,20.25
104,6,44,46,20.25
105,6,44,46,20.36
106,6,44,46,19.50
107,6,44,46,19.50
108,6,44,46,18.97
109,6,44,46,20.25
110,6,44,46,20.25
111,6,44,46,20.31
112,6,44,46,19.07
113,6,44,46,18.97
114,6,44,46,18.97
115,6,44,46,19.38
116,6,44,46,19.07
117,6,44,46,20.36
118,6,44,46,19.07
119,6,44,46,19.07
120,6,44,46,19.50
121,6,44,46,20.34
122,6,44,46,19.50
123,6,44,46,20.34
124,6,44,46,19.93
125,6,44,46,20.36
126,6,44,46,20.25
127,6,44,46,19.83
128,6,44,46,19.40
129,6,44,46,20.25
130,6,44,46,20.24
131,6,44,46,20.24
132,6,44,46,20.24
133,6,44,46,20.24
134,6,44,46,20.36
135,6,44,46,20.34
136,6,44,46,20.36
137,6,44,46,20.36
138,6,44,46,20.36
139,6,44,46,19.50
140,6,44,46,19.50
141,6,44,46,19.50
142,6,44,46,19.48
143,6,44,46,20.34
144,6,44,46,20.36
145,6,44,46,19.07
146,6,44,46,20.36
147,6,44,46,20.34
148,6,44,47,20.36
149,6,44,47,19.07
150,6,44,47,19.50
151,6,44,47,19.50
152,6,44,47,19.48
153,6,44,47,20.34
154,6,44,47,20.34
155,6,44,47,20.36
156,6,44,47,20.34
157,6,44,47,19.93
158,6,44,47,20.36
159,6,44,47,20.36
160,6,44,47,20.36
161,6,44,47,19.50
162,6,44,47,19.09
163,6,44,47,19.50
164,6,44,47,19.48
165,6,44,47,19.07
166,6,44,47,20.77
167,6,44,47,20.34
168,6,44,47,20.36
169,6,44,47,19.50
170,6,44,47,20.36
171,6,44,47,20.34
172,6,44,47,20.36
173,6,44,47,20.36
174,6,44,47,20.34
175,6,44,47,19.50
176,6,44,47,19.48
177,6,44,47,19.48
178,6,44,47,19.50
179,6,44,47,19.50
180,6,44,47,19.48
181,6,44,47,19.48
182,6,44,47,20.34
183,6,44,47,20.34
184,6,44,47,20.36
185,6,44,47,20.34
186,6,44,47,19.48
187,6,44,47,19.48
188,6,44,47,20.34
189,6,44,47,20.34
190,6,44,47,20.36
191,6,44,47,20.34
192,6,44,47,20.36
193,6,44,47,20.34
194,6,44,47,20.36
195,6,44,47,19.07
196,6,44,47,20.36
197,6,44,47,20.36
198,6,44,47,19.07
199,6,44,47,20.34
200,6,44,47,20.34
201,6,44,47,20.34
202,6,44,47,19.07
203,6,44,47,20.34
204,6,44,47,19.93
205,6,44,47,19.48
206,6,44,47,19.07
207,6,44,47,20.36
208,6,44,47,19.48
209,6,44,47,19.48
210,6,44,47,20.36
211,6,44,48,19.93
212,6,44,48,19.50
213,6,44,48,19.48
214,6,44,48,20.36
215,6,44,48,19.50
216,6,44,48,20.36
217,6,44,48,19.50
218,6,44,48,20.77
219,6,44,48,19.48
220,6,44,48,20.36
221,6,44,48,19.07
222,6,44,48,20.36
223,6,44,48,19.07
224,6,44,48,20.34
225,6,44,48,20.36
226,6,44,48,19.07
227,6,44,48,19.48
228,6,44,48,19.48
229,6,44,48,20.34
230,6,44,48,20.77
231,6,44,48,20.36
232,6,44,48,19.48
233,6,44,48,20.36
234,6,44,48,19.07
235,6,44,48,20.36
236,6,44,48,19.50
237,6,44,48,19.50
238,6,44,48,19.48
239,6,44,48,20.36
240,6,44,48,19.48
241,6,44,48,20.36
242,6,44,48,19.48
243,6,44,48,20.36
244,6,44,48,20.36
245,6,44,48,20.36
246,6,44,48,19.50
247,6,44,48,20.25
248,6,44,48,19.50
249,6,44,48,20.25
250,6,44,48,20.25
251,6,44,48,20.25
252,6,44,48,20.24
253,6,44,48,20.25
254,6,44,48,20.36
255,6,44,48,20.34
256,6,44,48,20.36
257,6,44,48,20.36
258,6,44,48,20.36
259,6,44,48,20.36
260,6,44,48,20.36
261,6,44,48,19.48
262,6,44,48,19.50
263,6,44,48,19.50
264,6,44,48,19.07
265,6,44,48,19.50
266,6,44,48,19.50
267,6,44,48,19.50
268,6,44,48,19.48
269,6,44,48,20.77
270,6,44,48,19.50
271,6,44,48,20.36
272,6,44,49,20.36
273,6,44,49,19.48
274,6,44,49,20.36
275,6,44,49,20.36
276,6,44,49,19.07
277,6,44,49,19.50
278,6,44,49,20.36
279,6,44,49,19.50
280,6,44,49,20.36
281,6,44,49,19.50
282,6,44,49,20.34
283,6,44,49,20.36
284,6,44,49,19.48
285,6,44,49,19.50
286,6,44,49,20.36
287,6,44,49,20.36
288,6,44,49,20.36
289,6,44,49,20.36
290,6,44,49,20.34
291,6,44,49,20.36
292,6,44,49,19.48
293,6,44,49,20.36
294,6,44,49,20.36
295,6,44,49,19.50
296,6,44,49,19.50
297,6,44,49,20.36
298,6,44,49,19.50
299,6,44,49,19.48
300,6,44,49,19.48
301,6,44,49,19.50
302,6,44,49,19.48
303,6,44,49,19.48
304,6,44,49,19.48
305,6,44,49,19.48
306,6,44,49,20.36
307,6,44,49,20.36
308,6,44,49,19.48
309,6,44,49,19.48
310,6,44,49,20.36
311,6,44,49,19.48
312,6,44,49,20.36
313,6,44,49,20.34
314,6,44,49,19.50
315,6,44,49,19.50
316,6,44,50,19.48
317,6,44,50,20.77
318,6,44,50,19.48
319,6,44,50,19.48
320,6,44,50,20.36
321,6,44,50,19.48
322,6,44,50,19.48
323,6,44,50,19.48
324,6,44,50,20.36
325,6,44,50,20.36
326,6,44,50,19.50
327,6,44,50,19.50
328,6,44,50,19.48
329,6,44,50,19.48
330,6,44,50,20.36
331,6,44,50,19.48
332,6,44,50,19.48
333,6,44,50,20.36
334,6,44,50,19.50
335,6,44,50,20.36
336,6,44,50,20.34
337,6,44,50,20.34
338,6,44,50,20.36
339,6,44,50,20.34
340,6,44,50,20.34
341,6,44,50,20.34
342,6,44,50,19.93
343,6,44,50,20.34
344,6,44,50,19.93
345,6,44,50,20.36
346,6,44,50,19.48
347,6,44,50,20.34
348,6,44,50,20.34
349,6,44,50,20.36
350,6,44,50,20.34
351,6,44,50,20.34
352,6,44,50,20.36
353,6,44,50,20.34
354,6,44,50,20.34
355,6,44,50,20.34
356,6,44,50,20.36
357,6,44,50,19.07
358,6,44,50,20.34
359,6,44,50,20.34
360,6,44,50,19.48
361,6,44,50,19.07
