Data Number,Hour,Minute,Seconds,Data Value
1,1,44,21,317.67
2,1,44,21,318.10
3,1,44,21,219.19
4,1,44,21,210.14
5,1,44,21,218.37
6,1,44,21,294.83
7,1,44,21,218.30
8,1,44,22,220.39
9,1,44,22,98.53
10,1,44,22,318.54
11,1,44,22,318.92
12,1,44,22,2240.41
13,1,44,22,276.25
14,1,44,22,209.09
15,1,44,22,318.44
16,1,44,22,182.37
17,1,44,22,201.86
18,1,44,22,267.16
19,1,44,22,2239.24
20,1,44,22,317.53
21,1,44,22,321.92
22,1,44,22,319.04
23,1,44,22,314.65
24,1,44,22,201.80
25,1,44,22,319.32
26,1,44,22,232.04
27,1,44,23,320.29
28,1,44,23,319.33
29,1,44,23,202.32
30,1,44,23,203.90
31,1,44,23,318.53
32,1,44,23,319.45
33,1,44,23,203.59
34,1,44,23,202.63
35,1,44,23,317.67
36,1,44,23,2007.39
37,1,44,23,202.73
38,1,44,23,278.04
39,1,44,23,320.29
40,1,44,23,319.83
41,1,44,23,314.41
42,1,44,23,309.09
43,1,44,23,320.19
44,1,44,23,318.01
45,1,44,23,267.93
46,1,44,23,251.45
47,1,44,23,317.57
48,1,44,23,234.94
49,1,44,23,202.18
50,1,44,24,202.28
51,1,44,24,256.96
52,1,44,24,293.88
53,1,44,24,214.01
54,1,44,24,317.57
55,1,44,24,317.69
56,1,44,24,318.99
57,1,44,24,319.45
58,1,44,24,121.73
59,1,44,24,291.89
60,1,44,24,210.40
61,1,44,24,319.88
62,1,44,24,318.99
63,1,44,24,318.13
64,1,44,24,99.26
65,1,44,24,163.06
66,1,44,24,318.61
67,1,44,24,318.60
68,1,44,24,318.17
69,1,44,24,318.61
70,1,44,24,318.12
71,1,44,24,318.03
72,1,44,24,320.72
73,1,44,24,174.60
74,1,44,24,175.99
75,1,44,24,239.98
76,1,44,25,318.13
77,1,44,25,268.43
78,1,44,25,319.74
79,1,44,25,317.91
80,1,44,25,202.28
81,1,44,25,320.19
82,1,44,25,253.36
83,1,44,25,271.24
84,1,44,25,242.93
85,1,44,25,201.84
86,1,44,25,317.70
87,1,44,25,292.20
88,1,44,25,317.70
89,1,44,25,317.70
90,1,44,25,236.76
91,1,44,25,305.00
92,1,44,25,215.49
93,1,44,25,317.69
94,1,44,25,2125.48
95,1,44,25,202.16
96,1,44,25,263.87
97,1,44,26,317.55
98,1,44,26,317.67
99,1,44,26,174.67
100,1,44,26,170.23
101,1,44,26,318.12
102,1,44,26,169.68
103,1,44,26,318.56
104,1,44,26,185.65
105,1,44,26,288.21
106,1,44,26,317.69
107,1,44,26,150.58
108,1,44,26,186.61
109,1,44,26,318.12
110,1,44,26,219.52
111,1,44,26,318.56
112,1,44,26,2223.50
113,1,44,26,318.54
114,1,44,26,318.13
115,1,44,26,318.05
116,1,44,26,98.46
117,1,44,26,317.58
118,1,44,26,320.62
119,1,44,26,2089.69
120,1,44,27,319.88
121,1,44,27,318.17
122,1,44,27,317.67
123,1,44,27,318.13
124,1,44,27,1958.74
125,1,44,27,319.01
126,1,44,27,277.81
127,1,44,27,317.55
128,1,44,27,318.17
129,1,44,27,254.90
130,1,44,27,231.25
131,1,44,27,290.85
132,1,44,27,312.78
133,1,44,27,319.86
134,1,44,27,320.33
135,1,44,27,2224.97
136,1,44,27,186.49
137,1,44,28,296.56
138,1,44,28,2223.96
139,1,44,28,190.76
140,1,44,28,306.61
141,1,44,28,273.89
142,1,44,28,322.35
143,1,44,28,318.01
144,1,44,28,318.58
145,1,44,28,211.27
146,1,44,28,303.25
147,1,44,28,319.01
148,1,44,28,288.12
149,1,44,28,189.78
150,1,44,28,2224.63
151,1,44,28,320.64
152,1,44,28,317.57
153,1,44,28,318.06
154,1,44,28,218.87
155,1,44,29,317.57
156,1,44,29,320.26
157,1,44,29,296.95
158,1,44,29,185.73
159,1,44,29,318.12
160,1,44,29,65.60
161,1,44,29,175.58
162,1,44,29,207.91
163,1,44,29,185.65
164,1,44,29,317.57
165,1,44,29,320.28
166,1,44,29,93.12
167,1,44,29,244.59
168,1,44,29,186.16
169,1,44,29,262.43
170,1,44,29,185.20
171,1,44,29,317.69
172,1,44,29,318.99
173,1,44,29,175.56
174,1,44,29,2223.55
175,1,44,29,317.70
176,1,44,29,242.42
177,1,44,29,239.57
178,1,44,29,317.67
179,1,44,30,2222.49
180,1,44,30,320.29
181,1,44,30,318.15
182,1,44,30,223.21
183,1,44,30,243.17
184,1,44,30,185.29
185,1,44,30,141.40
186,1,44,30,317.69
187,1,44,30,185.19
188,1,44,30,191.07
189,1,44,30,317.70
190,1,44,30,186.20
191,1,44,30,185.27
192,1,44,30,83.81
193,1,44,30,188.26
194,1,44,30,185.65
195,1,44,30,268.48
196,1,44,30,185.61
197,1,44,30,319.88
198,1,44,30,318.60
199,1,44,30,319.01
200,1,44,30,289.22
201,1,44,30,185.75
202,1,44,31,318.13
203,1,44,31,235.92
204,1,44,31,318.58
205,1,44,31,245.76
206,1,44,31,189.88
207,1,44,31,186.16
208,1,44,31,318.01
209,1,44,31,190.11
210,1,44,31,187.47
211,1,44,31,185.31
212,1,44,31,321.05
213,1,44,31,319.47
214,1,44,31,294.41
215,1,44,31,185.70
216,1,44,31,2223.69
217,1,44,31,318.15
218,1,44,31,2222.50
219,1,44,31,305.27
220,1,44,31,185.72
221,1,44,32,320.72
222,1,44,32,318.49
223,1,44,32,251.92
224,1,44,32,260.41
225,1,44,32,185.32
226,1,44,32,185.75
227,1,44,32,259.77
228,1,44,32,234.59
229,1,44,32,318.12
230,1,44,32,187.90
231,1,44,32,277.95
232,1,44,32,215.76
233,1,44,32,2221.77
234,1,44,32,318.08
235,1,44,32,320.64
236,1,44,32,320.65
237,1,44,32,317.60
238,1,44,32,97.58
239,1,44,32,318.03
240,1,44,32,296.97
241,1,44,32,317.69
242,1,44,32,318.17
243,1,44,32,185.31
244,1,44,33,257.32
245,1,44,33,317.69
246,1,44,33,280.20
247,1,44,33,254.69
248,1,44,33,317.58
249,1,44,33,2092.21
250,1,44,33,318.58
251,1,44,33,185.29
252,1,44,33,318.12
253,1,44,33,318.12
254,1,44,33,98.46
255,1,44,33,111.39
256,1,44,33,185.72
257,1,44,33,92.49
258,1,44,33,189.64
259,1,44,33,318.54
260,1,44,33,187.48
261,1,44,33,289.92
262,1,44,33,318.12
263,1,44,33,318.97
264,1,44,33,82.78
265,1,44,33,185.29
266,1,44,33,185.77
267,1,44,33,173.37
268,1,44,34,187.91
269,1,44,34,270.10
270,1,44,34,319.80
271,1,44,34,320.65
272,1,44,34,2224.29
273,1,44,34,317.72
274,1,44,34,99.38
275,1,44,34,318.15
276,1,44,34,317.58
277,1,44,34,257.40
278,1,44,34,185.77
