Data Number,Hour,Minute,Data Value
1,11,14,49.65
2,11,14,49.65
3,11,14,50.06
4,11,14,49.22
5,11,14,49.56
6,11,14,49.99
7,11,14,49.58
8,11,14,49.15
9,11,14,50.40
10,11,14,49.55
11,11,14,48.67
12,11,14,50.37
13,11,14,49.92
14,11,14,50.34
15,11,14,49.92
16,11,14,50.49
17,11,14,50.03
18,11,14,53.59
19,11,14,45.77
20,11,14,40.73
21,11,14,41.42
22,11,14,39.74
23,11,14,38.52
24,11,14,34.88
25,11,14,32.84
26,11,14,35.14
27,11,14,28.79
28,11,14,26.45
29,11,14,25.00
30,11,14,23.38
31,11,14,22.35
32,11,14,56.70
33,11,14,85.13
34,11,14,16.98
35,11,14,14.73
36,11,14,15.04
37,11,14,15.56
38,11,14,70.23
39,11,14,22.21
40,11,14,22.04
41,11,14,24.95
42,11,14,28.79
43,11,14,30.12
44,11,14,32.46
45,11,14,32.12
46,11,14,37.23
47,11,14,36.00
48,11,14,38.71
49,11,14,39.07
50,11,14,38.71
51,11,14,42.34
52,11,14,46.12
53,11,14,52.82
54,11,14,46.96
55,11,14,53.97
56,11,14,55.75
57,11,14,55.33
58,11,14,48.79
59,11,14,45.93
60,11,14,45.05
61,11,14,45.43
62,11,14,45.91
63,11,14,45.52
64,11,14,45.86
65,11,14,48.38
66,11,14,48.72
67,11,14,48.23
68,11,14,44.40
69,11,14,41.43
70,11,14,42.45
71,11,14,41.50
72,11,14,39.14
73,11,14,40.27
74,11,14,38.21
75,11,14,37.10
76,11,14,31.95
77,11,14,29.93
78,11,14,27.97
79,11,14,28.50
80,11,14,28.23
81,11,14,25.83
82,11,14,24.39
83,11,14,23.02
84,11,14,23.38
85,11,14,23.41
86,11,14,23.99
87,11,14,23.79
88,11,14,23.53
89,11,14,24.75
90,11,14,25.36
91,11,14,25.16
92,11,14,25.88
93,11,14,25.43
94,11,14,25.47
95,11,14,25.18
96,11,14,25.57
97,11,14,25.06
98,11,14,26.03
99,11,14,26.09
100,11,14,25.60
