Data Number,Hour,Minute,Data Value
1,11,9,"44.21
"
2,11,9,"44.80
"
3,11,9,"45.22
"
4,11,9,"46.12
"
5,11,9,"52.89
"
6,11,9,"54.18
"
7,11,9,"57.88
"
8,11,9,"51.78
"
9,11,9,"55.39
"
10,11,9,"45.52
"
11,11,9,"45.53
"
12,11,9,"45.22
"
13,11,9,"44.88
"
14,11,9,"45.16
"
15,11,9,"46.12
"
16,11,9,"46.17
"
17,11,9,"47.28
"
18,11,9,"47.28
"
19,11,9,"46.80
"
20,11,9,"46.87
"
21,11,9,"46.53
"
22,11,9,"46.15
"
23,11,9,"46.15
"
24,11,9,"46.72
"
25,11,9,"46.31
"
26,11,9,"46.29
"
27,11,9,"46.20
"
28,11,9,"45.76
"
29,11,9,"46.18
"
30,11,9,"46.94
"
31,11,9,"46.91
"
32,11,9,"46.99
"
33,11,9,"46.99
"
34,11,9,"45.88
"
35,11,9,"46.63
"
36,11,9,"46.51
"
37,11,9,"45.96
"
38,11,9,"46.61
"
39,11,9,"45.86
"
40,11,9,"44.57
"
41,11,9,"45.65
"
42,11,9,"54.91
"
43,11,9,"51.06
"
44,11,9,"54.61
"
45,11,9,"53.18
"
46,11,9,"56.10
"
47,11,9,"52.50
"
48,11,9,"53.37
"
49,11,9,"53.83
"
50,11,9,"51.95
"
51,11,9,"43.30
"
52,11,9,"44.73
"
53,11,9,"44.18
"
54,11,9,"44.95
"
55,11,9,"61.65
"
56,11,9,"47.13
"
57,11,9,"45.86
"
58,11,9,"47.08
"
59,11,9,"47.23
"
60,11,9,"47.71
"
61,11,9,"46.22
"
62,11,9,"45.76
"
63,11,9,"54.02
"
64,11,9,"37.42
"
65,11,9,"36.75
"
66,11,9,"44.52
"
67,11,9,"45.70
"
68,11,9,"109.14
"
69,11,9,"86.57
"
70,11,9,"107.56
"
71,11,9,"21.93
"
72,11,9,"23.20
"
73,11,9,"26.75
"
74,11,9,"29.65
"
75,11,9,"31.37
"
76,11,9,"16.46
"
77,11,9,"32.83
"
78,11,9,"110.93
"
79,11,9,"29.34
"
80,11,9,"32.83
"
81,11,9,"50.10
"
82,11,9,"54.71
"
83,11,9,"53.70
"
84,11,9,"52.10
"
85,11,9,"52.65
"
86,11,9,"53.94
"
87,11,9,"52.36
"
88,11,9,"51.06
"
89,11,9,"49.60
"
90,11,9,"34.99
"
91,11,9,"51.38
"
92,11,9,"34.78
"
93,11,9,"46.22
"
94,11,9,"22.14
"
95,11,9,"193.49
"
96,11,9,"37.66
"
97,11,9,"2285.01
"
98,11,9,"28.38
"
99,11,9,"28.07
"
100,11,9,"31.54
"
101,11,9,"42.63
"
